Id,Name,Duration,CalcPrio,LastRunPrevious,LastResults,Verdict,Cycle,CommitMessage,LastFiles,Project,DataSource,ImageTag,CommitSHA,TestType
11,org.traccar.test.RegressionTest011#testRegressionCase,0.320s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File11.java', 'src/test/java/traccar/test/RegressionTest011.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Regression
12,org.traccar.test.RegressionTest018#testRegressionCase,0.460s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File18.java', 'src/test/java/traccar/test/RegressionTest018.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Regression
13,org.traccar.test.SmokeTest006#testSmokeCase,0.220s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File6.java', 'src/test/java/traccar/test/SmokeTest006.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Smoke
14,org.traccar.test.SmokeTest013#testSmokeCase,0.360s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File13.java', 'src/test/java/traccar/test/SmokeTest013.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Smoke
15,org.traccar.test.SmokeTest020#testSmokeCase,0.500s,0,2015-11-30 21:48,[1],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File20.java', 'src/test/java/traccar/test/SmokeTest020.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Smoke
16,org.traccar.test.SystemTest002#testSystemCase,2.140s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File2.java', 'src/test/java/traccar/test/SystemTest002.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,System
17,org.traccar.test.SystemTest009#testSystemCase,2.280s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File9.java', 'src/test/java/traccar/test/SystemTest009.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,System
18,org.traccar.test.SystemTest016#testSystemCase,2.420s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File16.java', 'src/test/java/traccar/test/SystemTest016.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,System
19,org.traccar.test.UnitTest007#testUnitCase,0.240s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File7.java', 'src/test/java/traccar/test/UnitTest007.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Unit
20,org.traccar.test.UnitTest014#testUnitCase,0.380s,0,2015-11-30 21:48,[0],0,1,Rename CORS response filter,"['src/main/java/traccar/core/File14.java', 'src/test/java/traccar/test/UnitTest014.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-94037390,416ea87605b13f329430fbbb6a4aa1c002086514,Unit
21,org.traccar.test.EdgeTest005#testEdgeCase,0.200s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File5.java', 'src/test/java/traccar/test/EdgeTest005.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
22,org.traccar.test.EdgeTest012#testEdgeCase,0.850s,0,2015-05-04 11:18,"[1, 0]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File12.java', 'src/test/java/traccar/test/EdgeTest012.java', 'src/main/java/traccar/util/Helper12.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
23,org.traccar.test.EdgeTest019#testEdgeCase,1.200s,0,2015-05-04 11:18,"[0, 1]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File19.java', 'src/test/java/traccar/test/EdgeTest019.java', 'src/main/java/traccar/util/Helper19.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
24,org.traccar.test.EdgeTest026#testEdgeCase,1.550s,0,2015-05-04 11:18,"[1, 0]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File26.java', 'src/test/java/traccar/test/EdgeTest026.java', 'src/main/java/traccar/util/Helper26.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
25,org.traccar.test.EdgeTest033#testEdgeCase,0.760s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File33.java', 'src/test/java/traccar/test/EdgeTest033.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
26,org.traccar.test.EdgeTest040#testEdgeCase,0.900s,0,2015-05-04 11:18,"[1, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File40.java', 'src/test/java/traccar/test/EdgeTest040.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
27,org.traccar.test.EdgeTest047#testEdgeCase,2.600s,0,2015-05-04 11:18,"[0, 1]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File47.java', 'src/test/java/traccar/test/EdgeTest047.java', 'src/main/java/traccar/util/Helper47.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
28,org.traccar.test.EdgeTest054#testEdgeCase,1.180s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File54.java', 'src/test/java/traccar/test/EdgeTest054.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
29,org.traccar.test.EdgeTest061#testEdgeCase,1.320s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File61.java', 'src/test/java/traccar/test/EdgeTest061.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
30,org.traccar.test.EdgeTest068#testEdgeCase,1.460s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File68.java', 'src/test/java/traccar/test/EdgeTest068.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
31,org.traccar.test.EdgeTest075#testEdgeCase,1.600s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File75.java', 'src/test/java/traccar/test/EdgeTest075.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
32,org.traccar.test.EdgeTest082#testEdgeCase,1.740s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File82.java', 'src/test/java/traccar/test/EdgeTest082.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
33,org.traccar.test.EdgeTest089#testEdgeCase,4.700s,0,2015-05-04 11:18,"[0, 1]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File89.java', 'src/test/java/traccar/test/EdgeTest089.java', 'src/main/java/traccar/util/Helper89.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Edge
34,org.traccar.test.IntegrationTest001#testIntegrationCase,1.300s,0,2015-05-04 11:18,"[0, 1]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File1.java', 'src/test/java/traccar/test/IntegrationTest001.java', 'src/main/java/traccar/util/Helper1.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
35,org.traccar.test.IntegrationTest008#testIntegrationCase,1.260s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File8.java', 'src/test/java/traccar/test/IntegrationTest008.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
36,org.traccar.test.IntegrationTest015#testIntegrationCase,1.400s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File15.java', 'src/test/java/traccar/test/IntegrationTest015.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
37,org.traccar.test.IntegrationTest022#testIntegrationCase,1.540s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File22.java', 'src/test/java/traccar/test/IntegrationTest022.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
38,org.traccar.test.IntegrationTest029#testIntegrationCase,2.700s,0,2015-05-04 11:18,"[0, 1]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File29.java', 'src/test/java/traccar/test/IntegrationTest029.java', 'src/main/java/traccar/util/Helper29.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
39,org.traccar.test.IntegrationTest036#testIntegrationCase,1.820s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File36.java', 'src/test/java/traccar/test/IntegrationTest036.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
40,org.traccar.test.IntegrationTest043#testIntegrationCase,1.960s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File43.java', 'src/test/java/traccar/test/IntegrationTest043.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
41,org.traccar.test.IntegrationTest050#testIntegrationCase,2.100s,0,2015-05-04 11:18,"[1, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File50.java', 'src/test/java/traccar/test/IntegrationTest050.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
42,org.traccar.test.IntegrationTest057#testIntegrationCase,2.240s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File57.java', 'src/test/java/traccar/test/IntegrationTest057.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
43,org.traccar.test.IntegrationTest064#testIntegrationCase,4.450s,0,2015-05-04 11:18,"[1, 0]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File64.java', 'src/test/java/traccar/test/IntegrationTest064.java', 'src/main/java/traccar/util/Helper64.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
44,org.traccar.test.IntegrationTest071#testIntegrationCase,2.520s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File71.java', 'src/test/java/traccar/test/IntegrationTest071.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
45,org.traccar.test.IntegrationTest078#testIntegrationCase,2.660s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File78.java', 'src/test/java/traccar/test/IntegrationTest078.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
46,org.traccar.test.IntegrationTest085#testIntegrationCase,5.500s,0,2015-05-04 11:18,"[0, 1]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File85.java', 'src/test/java/traccar/test/IntegrationTest085.java', 'src/main/java/traccar/util/Helper85.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
47,org.traccar.test.IntegrationTest092#testIntegrationCase,2.940s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File92.java', 'src/test/java/traccar/test/IntegrationTest092.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Integration
48,org.traccar.test.PerformanceTest003#testPerformanceCase,3.160s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File3.java', 'src/test/java/traccar/test/PerformanceTest003.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
49,org.traccar.test.PerformanceTest010#testPerformanceCase,3.300s,0,2015-05-04 11:18,"[1, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File10.java', 'src/test/java/traccar/test/PerformanceTest010.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
50,org.traccar.test.PerformanceTest017#testPerformanceCase,3.440s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File17.java', 'src/test/java/traccar/test/PerformanceTest017.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
51,org.traccar.test.PerformanceTest024#testPerformanceCase,3.580s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File24.java', 'src/test/java/traccar/test/PerformanceTest024.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
52,org.traccar.test.PerformanceTest031#testPerformanceCase,3.720s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File31.java', 'src/test/java/traccar/test/PerformanceTest031.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
53,org.traccar.test.PerformanceTest038#testPerformanceCase,3.860s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File38.java', 'src/test/java/traccar/test/PerformanceTest038.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
54,org.traccar.test.PerformanceTest045#testPerformanceCase,4.000s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File45.java', 'src/test/java/traccar/test/PerformanceTest045.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
55,org.traccar.test.PerformanceTest052#testPerformanceCase,4.140s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File52.java', 'src/test/java/traccar/test/PerformanceTest052.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
56,org.traccar.test.PerformanceTest059#testPerformanceCase,4.280s,0,2015-05-04 11:18,"[0, 1]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File59.java', 'src/test/java/traccar/test/PerformanceTest059.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
57,org.traccar.test.PerformanceTest066#testPerformanceCase,4.420s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File66.java', 'src/test/java/traccar/test/PerformanceTest066.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
58,org.traccar.test.PerformanceTest073#testPerformanceCase,4.560s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File73.java', 'src/test/java/traccar/test/PerformanceTest073.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
59,org.traccar.test.PerformanceTest080#testPerformanceCase,7.250s,0,2015-05-04 11:18,"[1, 0]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File80.java', 'src/test/java/traccar/test/PerformanceTest080.java', 'src/main/java/traccar/util/Helper80.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
60,org.traccar.test.PerformanceTest087#testPerformanceCase,7.600s,0,2015-05-04 11:18,"[0, 1]",1,2,Add new Noran test cases,"['src/main/java/traccar/core/File87.java', 'src/test/java/traccar/test/PerformanceTest087.java', 'src/main/java/traccar/util/Helper87.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Performance
61,org.traccar.test.RegressionTest004#testRegressionCase,0.180s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File4.java', 'src/test/java/traccar/test/RegressionTest004.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
62,org.traccar.test.RegressionTest011#testRegressionCase,0.320s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File11.java', 'src/test/java/traccar/test/RegressionTest011.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
63,org.traccar.test.RegressionTest018#testRegressionCase,0.460s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File18.java', 'src/test/java/traccar/test/RegressionTest018.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
64,org.traccar.test.RegressionTest025#testRegressionCase,0.600s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File25.java', 'src/test/java/traccar/test/RegressionTest025.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
65,org.traccar.test.RegressionTest032#testRegressionCase,0.740s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File32.java', 'src/test/java/traccar/test/RegressionTest032.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
66,org.traccar.test.RegressionTest039#testRegressionCase,0.880s,0,2015-05-04 11:18,"[0, 1]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File39.java', 'src/test/java/traccar/test/RegressionTest039.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
67,org.traccar.test.RegressionTest046#testRegressionCase,1.020s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File46.java', 'src/test/java/traccar/test/RegressionTest046.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
68,org.traccar.test.RegressionTest053#testRegressionCase,1.160s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File53.java', 'src/test/java/traccar/test/RegressionTest053.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
69,org.traccar.test.RegressionTest060#testRegressionCase,1.300s,0,2015-05-04 11:18,"[1, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File60.java', 'src/test/java/traccar/test/RegressionTest060.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
70,org.traccar.test.RegressionTest067#testRegressionCase,1.440s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File67.java', 'src/test/java/traccar/test/RegressionTest067.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
71,org.traccar.test.RegressionTest074#testRegressionCase,1.580s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File74.java', 'src/test/java/traccar/test/RegressionTest074.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
72,org.traccar.test.RegressionTest081#testRegressionCase,1.720s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File81.java', 'src/test/java/traccar/test/RegressionTest081.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
73,org.traccar.test.RegressionTest088#testRegressionCase,1.860s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File88.java', 'src/test/java/traccar/test/RegressionTest088.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Regression
74,org.traccar.test.SmokeTest006#testSmokeCase,0.220s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File6.java', 'src/test/java/traccar/test/SmokeTest006.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Smoke
75,org.traccar.test.SmokeTest013#testSmokeCase,0.360s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File13.java', 'src/test/java/traccar/test/SmokeTest013.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Smoke
76,org.traccar.test.SmokeTest020#testSmokeCase,0.500s,0,2015-05-04 11:18,"[1, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File20.java', 'src/test/java/traccar/test/SmokeTest020.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Smoke
77,org.traccar.test.SmokeTest027#testSmokeCase,0.640s,0,2015-05-04 11:18,"[0, 0]",0,2,Add new Noran test cases,"['src/main/java/traccar/core/File27.java', 'src/test/java/traccar/test/SmokeTest027.java']",traccar/traccar,BugSwarm_HighFailure,tananaev-traccar-61131831,e74de5663035c9bfed515f7dcc1f7e50e5accdde,Smoke
