block,batch,subject_position_in_block,preceding_subject,host_load_pct_at_block_start,cell_order,cell_position,profile,variant,first_seq,a1,a1_s,a2,a2_s,a3,a3_s,P1_visible,P1_suffix_research_only,P1_gate,P3_visible,P3_suffix_research_only,P3_gate,S_P1,S_P3,started_utc_a1,attempt_ids
4,A,4,k8s26980,26,R/bad > L/bad > L/ok > R/ok,2,L,bad,256,F(a),42.06,F(a),41.896,P,0.477,a1,"a2,a3",BLOCK,"a1,a2,a3",-,ACCEPT,1,0,2026-09-25T13:47:25.182349Z,c1v1-measured-etcd5509-b04-L-bad-a1 c1v1-measured-etcd5509-b04-L-bad-a2 c1v1-measured-etcd5509-b04-L-bad-a3
4,A,4,k8s26980,26,R/bad > L/bad > L/ok > R/ok,3,L,ok,259,P,0.542,P,0.414,P,0.508,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:48:57.177174Z,c1v1-measured-etcd5509-b04-L-ok-a1 c1v1-measured-etcd5509-b04-L-ok-a2 c1v1-measured-etcd5509-b04-L-ok-a3
5,A,5,k8s26980,29,L/ok > R/ok > L/bad > R/bad,4,R,bad,346,F(a),42.081,P,0.398,P,0.474,a1,"a2,a3",BLOCK,"a1,a2",a3,ACCEPT,1,0,2026-09-25T13:58:09.413971Z,c1v1-measured-etcd5509-b05-R-bad-a1 c1v1-measured-etcd5509-b05-R-bad-a2 c1v1-measured-etcd5509-b05-R-bad-a3
5,A,5,k8s26980,29,L/ok > R/ok > L/bad > R/bad,2,R,ok,340,P,0.499,P,0.5,P,0.476,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:55:46.506172Z,c1v1-measured-etcd5509-b05-R-ok-a1 c1v1-measured-etcd5509-b05-R-ok-a2 c1v1-measured-etcd5509-b05-R-ok-a3
5,A,5,k8s26980,29,L/ok > R/ok > L/bad > R/bad,3,L,bad,343,F(a),42.131,F(a),41.961,F(a),41.975,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T13:55:55.886220Z,c1v1-measured-etcd5509-b05-L-bad-a1 c1v1-measured-etcd5509-b05-L-bad-a2 c1v1-measured-etcd5509-b05-L-bad-a3
5,A,5,k8s26980,29,L/ok > R/ok > L/bad > R/bad,1,L,ok,337,P,0.584,P,0.465,P,0.499,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T13:55:37.069083Z,c1v1-measured-etcd5509-b05-L-ok-a1 c1v1-measured-etcd5509-b05-L-ok-a2 c1v1-measured-etcd5509-b05-L-ok-a3
6,B,6,grpc1859,13,R/bad > L/bad > L/ok > R/ok,1,R,bad,421,P,0.605,F(a),44.118,F(a),43.972,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,0,0,2026-09-25T14:15:13.706602Z,c1v1-measured-etcd5509-b06-R-bad-a1 c1v1-measured-etcd5509-b06-R-bad-a2 c1v1-measured-etcd5509-b06-R-bad-a3
6,B,6,grpc1859,13,R/bad > L/bad > L/ok > R/ok,4,R,ok,430,P,0.519,P,0.512,P,0.503,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:19:21.035781Z,c1v1-measured-etcd5509-b06-R-ok-a1 c1v1-measured-etcd5509-b06-R-ok-a2 c1v1-measured-etcd5509-b06-R-ok-a3
6,B,6,grpc1859,13,R/bad > L/bad > L/ok > R/ok,2,L,bad,424,F(a),44.442,F(a),44.241,F(a),44.783,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T14:16:50.223356Z,c1v1-measured-etcd5509-b06-L-bad-a1 c1v1-measured-etcd5509-b06-L-bad-a2 c1v1-measured-etcd5509-b06-L-bad-a3
6,B,6,grpc1859,13,R/bad > L/bad > L/ok > R/ok,3,L,ok,427,P,0.552,P,0.518,P,0.511,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:19:11.607020Z,c1v1-measured-etcd5509-b06-L-ok-a1 c1v1-measured-etcd5509-b06-L-ok-a2 c1v1-measured-etcd5509-b06-L-ok-a3
7,B,6,k8s26980,20,R/ok > L/ok > L/bad > R/bad,4,R,bad,502,F(a),45.285,P,0.509,F(a),45.321,a1,"a2,a3",BLOCK,"a1,a2",a3,ACCEPT,1,0,2026-09-25T14:27:54.256478Z,c1v1-measured-etcd5509-b07-R-bad-a1 c1v1-measured-etcd5509-b07-R-bad-a2 c1v1-measured-etcd5509-b07-R-bad-a3
7,B,6,k8s26980,20,R/ok > L/ok > L/bad > R/bad,1,R,ok,493,P,0.575,P,0.518,P,0.535,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:25:11.533532Z,c1v1-measured-etcd5509-b07-R-ok-a1 c1v1-measured-etcd5509-b07-R-ok-a2 c1v1-measured-etcd5509-b07-R-ok-a3
7,B,6,k8s26980,20,R/ok > L/ok > L/bad > R/bad,3,L,bad,499,F(a),45.277,F(a),45.295,F(a),45.31,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T14:25:30.441634Z,c1v1-measured-etcd5509-b07-L-bad-a1 c1v1-measured-etcd5509-b07-L-bad-a2 c1v1-measured-etcd5509-b07-L-bad-a3
7,B,6,k8s26980,20,R/ok > L/ok > L/bad > R/bad,2,L,ok,496,P,0.503,P,0.545,P,0.532,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:25:21.015946Z,c1v1-measured-etcd5509-b07-L-ok-a1 c1v1-measured-etcd5509-b07-L-ok-a2 c1v1-measured-etcd5509-b07-L-ok-a3
8,B,5,grpc1859,16,R/bad > L/bad > L/ok > R/ok,1,R,bad,553,F(a),45.533,F(a),45.357,F(a),45.455,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T14:34:14.714004Z,c1v1-measured-etcd5509-b08-R-bad-a1 c1v1-measured-etcd5509-b08-R-bad-a2 c1v1-measured-etcd5509-b08-R-bad-a3
8,B,5,grpc1859,16,R/bad > L/bad > L/ok > R/ok,4,R,ok,562,P,0.499,P,0.512,P,0.51,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:37:43.053447Z,c1v1-measured-etcd5509-b08-R-ok-a1 c1v1-measured-etcd5509-b08-R-ok-a2 c1v1-measured-etcd5509-b08-R-ok-a3
8,B,5,grpc1859,16,R/bad > L/bad > L/ok > R/ok,2,L,bad,556,F(a),45.361,P,0.523,P,0.546,a1,"a2,a3",BLOCK,"a1,a2",a3,ACCEPT,1,0,2026-09-25T14:36:39.047914Z,c1v1-measured-etcd5509-b08-L-bad-a1 c1v1-measured-etcd5509-b08-L-bad-a2 c1v1-measured-etcd5509-b08-L-bad-a3
8,B,5,grpc1859,16,R/bad > L/bad > L/ok > R/ok,3,L,ok,559,P,0.591,P,0.509,P,0.512,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:37:33.494427Z,c1v1-measured-etcd5509-b08-L-ok-a1 c1v1-measured-etcd5509-b08-L-ok-a2 c1v1-measured-etcd5509-b08-L-ok-a3
9,B,3,grpc2391,14,L/bad > L/ok > R/bad > R/ok,3,R,bad,607,F(a),45.421,F(a),45.426,F(a),45.417,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T14:44:50.912209Z,c1v1-measured-etcd5509-b09-R-bad-a1 c1v1-measured-etcd5509-b09-R-bad-a2 c1v1-measured-etcd5509-b09-R-bad-a3
9,B,3,grpc2391,14,L/bad > L/ok > R/bad > R/ok,4,R,ok,610,P,0.512,P,0.509,P,0.523,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:47:15.032238Z,c1v1-measured-etcd5509-b09-R-ok-a1 c1v1-measured-etcd5509-b09-R-ok-a2 c1v1-measured-etcd5509-b09-R-ok-a3
9,B,3,grpc2391,14,L/bad > L/ok > R/bad > R/ok,1,L,bad,601,F(a),45.426,F(a),45.34,F(a),45.414,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T14:42:17.514894Z,c1v1-measured-etcd5509-b09-L-bad-a1 c1v1-measured-etcd5509-b09-L-bad-a2 c1v1-measured-etcd5509-b09-L-bad-a3
9,B,3,grpc2391,14,L/bad > L/ok > R/bad > R/ok,2,L,ok,604,P,0.439,P,0.505,P,0.493,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:44:41.584614Z,c1v1-measured-etcd5509-b09-L-ok-a1 c1v1-measured-etcd5509-b09-L-ok-a2 c1v1-measured-etcd5509-b09-L-ok-a3
10,B,4,istio17860,15,L/bad > R/bad > L/ok > R/ok,2,R,bad,688,F(a),45.431,F(a),45.449,F(a),45.391,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T14:56:24.033848Z,c1v1-measured-etcd5509-b10-R-bad-a1 c1v1-measured-etcd5509-b10-R-bad-a2 c1v1-measured-etcd5509-b10-R-bad-a3
10,B,4,istio17860,15,L/bad > R/bad > L/ok > R/ok,4,R,ok,694,P,0.531,P,0.565,P,0.529,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:58:57.638551Z,c1v1-measured-etcd5509-b10-R-ok-a1 c1v1-measured-etcd5509-b10-R-ok-a2 c1v1-measured-etcd5509-b10-R-ok-a3
10,B,4,istio17860,15,L/bad > R/bad > L/ok > R/ok,1,L,bad,685,F(a),45.5,F(a),45.46,F(a),45.41,a1,"a2,a3",BLOCK,"a1,a2,a3",-,BLOCK,1,1,2026-09-25T14:53:59.756497Z,c1v1-measured-etcd5509-b10-L-bad-a1 c1v1-measured-etcd5509-b10-L-bad-a2 c1v1-measured-etcd5509-b10-L-bad-a3
10,B,4,istio17860,15,L/bad > R/bad > L/ok > R/ok,3,L,ok,691,P,0.584,P,0.501,P,0.522,a1,"a2,a3",ACCEPT,a1,"a2,a3",ACCEPT,,,2026-09-25T14:58:48.129780Z,c1v1-measured-etcd5509-b10-L-ok-a1 c1v1-measured-etcd5509-b10-L-ok-a2 c1v1-measured-etcd5509-b10-L-ok-a3
