seq,batch,block,subject_position,subject,cell_position,profile,variant,attempt,attempt_id,matched_block_id
44,A,1,4,istio17860,3,R,bad,2,c1v1-measured-istio17860-b01-R-bad-a2,c1v1-istio17860-b01
45,A,1,4,istio17860,3,R,bad,3,c1v1-measured-istio17860-b01-R-bad-a3,c1v1-istio17860-b01
46,A,1,4,istio17860,4,L,bad,1,c1v1-measured-istio17860-b01-L-bad-a1,c1v1-istio17860-b01
47,A,1,4,istio17860,4,L,bad,2,c1v1-measured-istio17860-b01-L-bad-a2,c1v1-istio17860-b01
48,A,1,4,istio17860,4,L,bad,3,c1v1-measured-istio17860-b01-L-bad-a3,c1v1-istio17860-b01
49,A,1,5,etcd5509,1,R,bad,1,c1v1-measured-etcd5509-b01-R-bad-a1,c1v1-etcd5509-b01
50,A,1,5,etcd5509,1,R,bad,2,c1v1-measured-etcd5509-b01-R-bad-a2,c1v1-etcd5509-b01
51,A,1,5,etcd5509,1,R,bad,3,c1v1-measured-etcd5509-b01-R-bad-a3,c1v1-etcd5509-b01
52,A,1,5,etcd5509,2,R,ok,1,c1v1-measured-etcd5509-b01-R-ok-a1,c1v1-etcd5509-b01
53,A,1,5,etcd5509,2,R,ok,2,c1v1-measured-etcd5509-b01-R-ok-a2,c1v1-etcd5509-b01
54,A,1,5,etcd5509,2,R,ok,3,c1v1-measured-etcd5509-b01-R-ok-a3,c1v1-etcd5509-b01
55,A,1,5,etcd5509,3,L,ok,1,c1v1-measured-etcd5509-b01-L-ok-a1,c1v1-etcd5509-b01
56,A,1,5,etcd5509,3,L,ok,2,c1v1-measured-etcd5509-b01-L-ok-a2,c1v1-etcd5509-b01
57,A,1,5,etcd5509,3,L,ok,3,c1v1-measured-etcd5509-b01-L-ok-a3,c1v1-etcd5509-b01
58,A,1,5,etcd5509,4,L,bad,1,c1v1-measured-etcd5509-b01-L-bad-a1,c1v1-etcd5509-b01
59,A,1,5,etcd5509,4,L,bad,2,c1v1-measured-etcd5509-b01-L-bad-a2,c1v1-etcd5509-b01
60,A,1,5,etcd5509,4,L,bad,3,c1v1-measured-etcd5509-b01-L-bad-a3,c1v1-etcd5509-b01
61,A,1,6,k8s26980,1,R,ok,1,c1v1-measured-k8s26980-b01-R-ok-a1,c1v1-k8s26980-b01
62,A,1,6,k8s26980,1,R,ok,2,c1v1-measured-k8s26980-b01-R-ok-a2,c1v1-k8s26980-b01
63,A,1,6,k8s26980,1,R,ok,3,c1v1-measured-k8s26980-b01-R-ok-a3,c1v1-k8s26980-b01
64,A,1,6,k8s26980,2,R,bad,1,c1v1-measured-k8s26980-b01-R-bad-a1,c1v1-k8s26980-b01
65,A,1,6,k8s26980,2,R,bad,2,c1v1-measured-k8s26980-b01-R-bad-a2,c1v1-k8s26980-b01
66,A,1,6,k8s26980,2,R,bad,3,c1v1-measured-k8s26980-b01-R-bad-a3,c1v1-k8s26980-b01
67,A,1,6,k8s26980,3,L,bad,1,c1v1-measured-k8s26980-b01-L-bad-a1,c1v1-k8s26980-b01
68,A,1,6,k8s26980,3,L,bad,2,c1v1-measured-k8s26980-b01-L-bad-a2,c1v1-k8s26980-b01
69,A,1,6,k8s26980,3,L,bad,3,c1v1-measured-k8s26980-b01-L-bad-a3,c1v1-k8s26980-b01
70,A,1,6,k8s26980,4,L,ok,1,c1v1-measured-k8s26980-b01-L-ok-a1,c1v1-k8s26980-b01
71,A,1,6,k8s26980,4,L,ok,2,c1v1-measured-k8s26980-b01-L-ok-a2,c1v1-k8s26980-b01
72,A,1,6,k8s26980,4,L,ok,3,c1v1-measured-k8s26980-b01-L-ok-a3,c1v1-k8s26980-b01
73,A,2,1,k8s26980,1,R,ok,1,c1v1-measured-k8s26980-b02-R-ok-a1,c1v1-k8s26980-b02
74,A,2,1,k8s26980,1,R,ok,2,c1v1-measured-k8s26980-b02-R-ok-a2,c1v1-k8s26980-b02
75,A,2,1,k8s26980,1,R,ok,3,c1v1-measured-k8s26980-b02-R-ok-a3,c1v1-k8s26980-b02
76,A,2,1,k8s26980,2,L,bad,1,c1v1-measured-k8s26980-b02-L-bad-a1,c1v1-k8s26980-b02
77,A,2,1,k8s26980,2,L,bad,2,c1v1-measured-k8s26980-b02-L-bad-a2,c1v1-k8s26980-b02
78,A,2,1,k8s26980,2,L,bad,3,c1v1-measured-k8s26980-b02-L-bad-a3,c1v1-k8s26980-b02
79,A,2,1,k8s26980,3,L,ok,1,c1v1-measured-k8s26980-b02-L-ok-a1,c1v1-k8s26980-b02
80,A,2,1,k8s26980,3,L,ok,2,c1v1-measured-k8s26980-b02-L-ok-a2,c1v1-k8s26980-b02
81,A,2,1,k8s26980,3,L,ok,3,c1v1-measured-k8s26980-b02-L-ok-a3,c1v1-k8s26980-b02
82,A,2,1,k8s26980,4,R,bad,1,c1v1-measured-k8s26980-b02-R-bad-a1,c1v1-k8s26980-b02
83,A,2,1,k8s26980,4,R,bad,2,c1v1-measured-k8s26980-b02-R-bad-a2,c1v1-k8s26980-b02
84,A,2,1,k8s26980,4,R,bad,3,c1v1-measured-k8s26980-b02-R-bad-a3,c1v1-k8s26980-b02
85,A,2,2,istio17860,1,L,bad,1,c1v1-measured-istio17860-b02-L-bad-a1,c1v1-istio17860-b02
86,A,2,2,istio17860,1,L,bad,2,c1v1-measured-istio17860-b02-L-bad-a2,c1v1-istio17860-b02
87,A,2,2,istio17860,1,L,bad,3,c1v1-measured-istio17860-b02-L-bad-a3,c1v1-istio17860-b02
88,A,2,2,istio17860,2,R,bad,1,c1v1-measured-istio17860-b02-R-bad-a1,c1v1-istio17860-b02
89,A,2,2,istio17860,2,R,bad,2,c1v1-measured-istio17860-b02-R-bad-a2,c1v1-istio17860-b02
90,A,2,2,istio17860,2,R,bad,3,c1v1-measured-istio17860-b02-R-bad-a3,c1v1-istio17860-b02
91,A,2,2,istio17860,3,R,ok,1,c1v1-measured-istio17860-b02-R-ok-a1,c1v1-istio17860-b02
92,A,2,2,istio17860,3,R,ok,2,c1v1-measured-istio17860-b02-R-ok-a2,c1v1-istio17860-b02
93,A,2,2,istio17860,3,R,ok,3,c1v1-measured-istio17860-b02-R-ok-a3,c1v1-istio17860-b02
94,A,2,2,istio17860,4,L,ok,1,c1v1-measured-istio17860-b02-L-ok-a1,c1v1-istio17860-b02
95,A,2,2,istio17860,4,L,ok,2,c1v1-measured-istio17860-b02-L-ok-a2,c1v1-istio17860-b02
96,A,2,2,istio17860,4,L,ok,3,c1v1-measured-istio17860-b02-L-ok-a3,c1v1-istio17860-b02
97,A,2,3,etcd5509,1,L,bad,1,c1v1-measured-etcd5509-b02-L-bad-a1,c1v1-etcd5509-b02
98,A,2,3,etcd5509,1,L,bad,2,c1v1-measured-etcd5509-b02-L-bad-a2,c1v1-etcd5509-b02
99,A,2,3,etcd5509,1,L,bad,3,c1v1-measured-etcd5509-b02-L-bad-a3,c1v1-etcd5509-b02
100,A,2,3,etcd5509,2,R,bad,1,c1v1-measured-etcd5509-b02-R-bad-a1,c1v1-etcd5509-b02
101,A,2,3,etcd5509,2,R,bad,2,c1v1-measured-etcd5509-b02-R-bad-a2,c1v1-etcd5509-b02
102,A,2,3,etcd5509,2,R,bad,3,c1v1-measured-etcd5509-b02-R-bad-a3,c1v1-etcd5509-b02
103,A,2,3,etcd5509,3,L,ok,1,c1v1-measured-etcd5509-b02-L-ok-a1,c1v1-etcd5509-b02
104,A,2,3,etcd5509,3,L,ok,2,c1v1-measured-etcd5509-b02-L-ok-a2,c1v1-etcd5509-b02
105,A,2,3,etcd5509,3,L,ok,3,c1v1-measured-etcd5509-b02-L-ok-a3,c1v1-etcd5509-b02
106,A,2,3,etcd5509,4,R,ok,1,c1v1-measured-etcd5509-b02-R-ok-a1,c1v1-etcd5509-b02
107,A,2,3,etcd5509,4,R,ok,2,c1v1-measured-etcd5509-b02-R-ok-a2,c1v1-etcd5509-b02
108,A,2,3,etcd5509,4,R,ok,3,c1v1-measured-etcd5509-b02-R-ok-a3,c1v1-etcd5509-b02
109,A,2,4,grpc1859,1,L,bad,1,c1v1-measured-grpc1859-b02-L-bad-a1,c1v1-grpc1859-b02
110,A,2,4,grpc1859,1,L,bad,2,c1v1-measured-grpc1859-b02-L-bad-a2,c1v1-grpc1859-b02
111,A,2,4,grpc1859,1,L,bad,3,c1v1-measured-grpc1859-b02-L-bad-a3,c1v1-grpc1859-b02
112,A,2,4,grpc1859,2,R,ok,1,c1v1-measured-grpc1859-b02-R-ok-a1,c1v1-grpc1859-b02
113,A,2,4,grpc1859,2,R,ok,2,c1v1-measured-grpc1859-b02-R-ok-a2,c1v1-grpc1859-b02
114,A,2,4,grpc1859,2,R,ok,3,c1v1-measured-grpc1859-b02-R-ok-a3,c1v1-grpc1859-b02
115,A,2,4,grpc1859,3,L,ok,1,c1v1-measured-grpc1859-b02-L-ok-a1,c1v1-grpc1859-b02
116,A,2,4,grpc1859,3,L,ok,2,c1v1-measured-grpc1859-b02-L-ok-a2,c1v1-grpc1859-b02
117,A,2,4,grpc1859,3,L,ok,3,c1v1-measured-grpc1859-b02-L-ok-a3,c1v1-grpc1859-b02
118,A,2,4,grpc1859,4,R,bad,1,c1v1-measured-grpc1859-b02-R-bad-a1,c1v1-grpc1859-b02
119,A,2,4,grpc1859,4,R,bad,2,c1v1-measured-grpc1859-b02-R-bad-a2,c1v1-grpc1859-b02
120,A,2,4,grpc1859,4,R,bad,3,c1v1-measured-grpc1859-b02-R-bad-a3,c1v1-grpc1859-b02
121,A,2,5,grpc2391,1,L,ok,1,c1v1-measured-grpc2391-b02-L-ok-a1,c1v1-grpc2391-b02
122,A,2,5,grpc2391,1,L,ok,2,c1v1-measured-grpc2391-b02-L-ok-a2,c1v1-grpc2391-b02
123,A,2,5,grpc2391,1,L,ok,3,c1v1-measured-grpc2391-b02-L-ok-a3,c1v1-grpc2391-b02
124,A,2,5,grpc2391,2,R,bad,1,c1v1-measured-grpc2391-b02-R-bad-a1,c1v1-grpc2391-b02
125,A,2,5,grpc2391,2,R,bad,2,c1v1-measured-grpc2391-b02-R-bad-a2,c1v1-grpc2391-b02
126,A,2,5,grpc2391,2,R,bad,3,c1v1-measured-grpc2391-b02-R-bad-a3,c1v1-grpc2391-b02
127,A,2,5,grpc2391,3,L,bad,1,c1v1-measured-grpc2391-b02-L-bad-a1,c1v1-grpc2391-b02
128,A,2,5,grpc2391,3,L,bad,2,c1v1-measured-grpc2391-b02-L-bad-a2,c1v1-grpc2391-b02
129,A,2,5,grpc2391,3,L,bad,3,c1v1-measured-grpc2391-b02-L-bad-a3,c1v1-grpc2391-b02
130,A,2,5,grpc2391,4,R,ok,1,c1v1-measured-grpc2391-b02-R-ok-a1,c1v1-grpc2391-b02
131,A,2,5,grpc2391,4,R,ok,2,c1v1-measured-grpc2391-b02-R-ok-a2,c1v1-grpc2391-b02
132,A,2,5,grpc2391,4,R,ok,3,c1v1-measured-grpc2391-b02-R-ok-a3,c1v1-grpc2391-b02
133,A,2,6,etcd7492,1,R,ok,1,c1v1-measured-etcd7492-b02-R-ok-a1,c1v1-etcd7492-b02
134,A,2,6,etcd7492,1,R,ok,2,c1v1-measured-etcd7492-b02-R-ok-a2,c1v1-etcd7492-b02
135,A,2,6,etcd7492,1,R,ok,3,c1v1-measured-etcd7492-b02-R-ok-a3,c1v1-etcd7492-b02
136,A,2,6,etcd7492,2,L,bad,1,c1v1-measured-etcd7492-b02-L-bad-a1,c1v1-etcd7492-b02
137,A,2,6,etcd7492,2,L,bad,2,c1v1-measured-etcd7492-b02-L-bad-a2,c1v1-etcd7492-b02
138,A,2,6,etcd7492,2,L,bad,3,c1v1-measured-etcd7492-b02-L-bad-a3,c1v1-etcd7492-b02
139,A,2,6,etcd7492,3,R,bad,1,c1v1-measured-etcd7492-b02-R-bad-a1,c1v1-etcd7492-b02
140,A,2,6,etcd7492,3,R,bad,2,c1v1-measured-etcd7492-b02-R-bad-a2,c1v1-etcd7492-b02
141,A,2,6,etcd7492,3,R,bad,3,c1v1-measured-etcd7492-b02-R-bad-a3,c1v1-etcd7492-b02
142,A,2,6,etcd7492,4,L,ok,1,c1v1-measured-etcd7492-b02-L-ok-a1,c1v1-etcd7492-b02
143,A,2,6,etcd7492,4,L,ok,2,c1v1-measured-etcd7492-b02-L-ok-a2,c1v1-etcd7492-b02
144,A,2,6,etcd7492,4,L,ok,3,c1v1-measured-etcd7492-b02-L-ok-a3,c1v1-etcd7492-b02
145,A,3,1,etcd5509,1,R,ok,1,c1v1-measured-etcd5509-b03-R-ok-a1,c1v1-etcd5509-b03
146,A,3,1,etcd5509,1,R,ok,2,c1v1-measured-etcd5509-b03-R-ok-a2,c1v1-etcd5509-b03
147,A,3,1,etcd5509,1,R,ok,3,c1v1-measured-etcd5509-b03-R-ok-a3,c1v1-etcd5509-b03
148,A,3,1,etcd5509,2,R,bad,1,c1v1-measured-etcd5509-b03-R-bad-a1,c1v1-etcd5509-b03
149,A,3,1,etcd5509,2,R,bad,2,c1v1-measured-etcd5509-b03-R-bad-a2,c1v1-etcd5509-b03
150,A,3,1,etcd5509,2,R,bad,3,c1v1-measured-etcd5509-b03-R-bad-a3,c1v1-etcd5509-b03
151,A,3,1,etcd5509,3,L,ok,1,c1v1-measured-etcd5509-b03-L-ok-a1,c1v1-etcd5509-b03
152,A,3,1,etcd5509,3,L,ok,2,c1v1-measured-etcd5509-b03-L-ok-a2,c1v1-etcd5509-b03
153,A,3,1,etcd5509,3,L,ok,3,c1v1-measured-etcd5509-b03-L-ok-a3,c1v1-etcd5509-b03
154,A,3,1,etcd5509,4,L,bad,1,c1v1-measured-etcd5509-b03-L-bad-a1,c1v1-etcd5509-b03
155,A,3,1,etcd5509,4,L,bad,2,c1v1-measured-etcd5509-b03-L-bad-a2,c1v1-etcd5509-b03
156,A,3,1,etcd5509,4,L,bad,3,c1v1-measured-etcd5509-b03-L-bad-a3,c1v1-etcd5509-b03
157,A,3,2,etcd7492,1,R,bad,1,c1v1-measured-etcd7492-b03-R-bad-a1,c1v1-etcd7492-b03
158,A,3,2,etcd7492,1,R,bad,2,c1v1-measured-etcd7492-b03-R-bad-a2,c1v1-etcd7492-b03
159,A,3,2,etcd7492,1,R,bad,3,c1v1-measured-etcd7492-b03-R-bad-a3,c1v1-etcd7492-b03
160,A,3,2,etcd7492,2,L,bad,1,c1v1-measured-etcd7492-b03-L-bad-a1,c1v1-etcd7492-b03
161,A,3,2,etcd7492,2,L,bad,2,c1v1-measured-etcd7492-b03-L-bad-a2,c1v1-etcd7492-b03
162,A,3,2,etcd7492,2,L,bad,3,c1v1-measured-etcd7492-b03-L-bad-a3,c1v1-etcd7492-b03
163,A,3,2,etcd7492,3,L,ok,1,c1v1-measured-etcd7492-b03-L-ok-a1,c1v1-etcd7492-b03
164,A,3,2,etcd7492,3,L,ok,2,c1v1-measured-etcd7492-b03-L-ok-a2,c1v1-etcd7492-b03
165,A,3,2,etcd7492,3,L,ok,3,c1v1-measured-etcd7492-b03-L-ok-a3,c1v1-etcd7492-b03
166,A,3,2,etcd7492,4,R,ok,1,c1v1-measured-etcd7492-b03-R-ok-a1,c1v1-etcd7492-b03
167,A,3,2,etcd7492,4,R,ok,2,c1v1-measured-etcd7492-b03-R-ok-a2,c1v1-etcd7492-b03
168,A,3,2,etcd7492,4,R,ok,3,c1v1-measured-etcd7492-b03-R-ok-a3,c1v1-etcd7492-b03
169,A,3,3,grpc1859,1,R,bad,1,c1v1-measured-grpc1859-b03-R-bad-a1,c1v1-grpc1859-b03
170,A,3,3,grpc1859,1,R,bad,2,c1v1-measured-grpc1859-b03-R-bad-a2,c1v1-grpc1859-b03
171,A,3,3,grpc1859,1,R,bad,3,c1v1-measured-grpc1859-b03-R-bad-a3,c1v1-grpc1859-b03
172,A,3,3,grpc1859,2,R,ok,1,c1v1-measured-grpc1859-b03-R-ok-a1,c1v1-grpc1859-b03
173,A,3,3,grpc1859,2,R,ok,2,c1v1-measured-grpc1859-b03-R-ok-a2,c1v1-grpc1859-b03
174,A,3,3,grpc1859,2,R,ok,3,c1v1-measured-grpc1859-b03-R-ok-a3,c1v1-grpc1859-b03
175,A,3,3,grpc1859,3,L,ok,1,c1v1-measured-grpc1859-b03-L-ok-a1,c1v1-grpc1859-b03
176,A,3,3,grpc1859,3,L,ok,2,c1v1-measured-grpc1859-b03-L-ok-a2,c1v1-grpc1859-b03
177,A,3,3,grpc1859,3,L,ok,3,c1v1-measured-grpc1859-b03-L-ok-a3,c1v1-grpc1859-b03
178,A,3,3,grpc1859,4,L,bad,1,c1v1-measured-grpc1859-b03-L-bad-a1,c1v1-grpc1859-b03
179,A,3,3,grpc1859,4,L,bad,2,c1v1-measured-grpc1859-b03-L-bad-a2,c1v1-grpc1859-b03
180,A,3,3,grpc1859,4,L,bad,3,c1v1-measured-grpc1859-b03-L-bad-a3,c1v1-grpc1859-b03
181,A,3,4,istio17860,1,R,bad,1,c1v1-measured-istio17860-b03-R-bad-a1,c1v1-istio17860-b03
182,A,3,4,istio17860,1,R,bad,2,c1v1-measured-istio17860-b03-R-bad-a2,c1v1-istio17860-b03
183,A,3,4,istio17860,1,R,bad,3,c1v1-measured-istio17860-b03-R-bad-a3,c1v1-istio17860-b03
184,A,3,4,istio17860,2,L,ok,1,c1v1-measured-istio17860-b03-L-ok-a1,c1v1-istio17860-b03
185,A,3,4,istio17860,2,L,ok,2,c1v1-measured-istio17860-b03-L-ok-a2,c1v1-istio17860-b03
186,A,3,4,istio17860,2,L,ok,3,c1v1-measured-istio17860-b03-L-ok-a3,c1v1-istio17860-b03
187,A,3,4,istio17860,3,R,ok,1,c1v1-measured-istio17860-b03-R-ok-a1,c1v1-istio17860-b03
188,A,3,4,istio17860,3,R,ok,2,c1v1-measured-istio17860-b03-R-ok-a2,c1v1-istio17860-b03
189,A,3,4,istio17860,3,R,ok,3,c1v1-measured-istio17860-b03-R-ok-a3,c1v1-istio17860-b03
190,A,3,4,istio17860,4,L,bad,1,c1v1-measured-istio17860-b03-L-bad-a1,c1v1-istio17860-b03
191,A,3,4,istio17860,4,L,bad,2,c1v1-measured-istio17860-b03-L-bad-a2,c1v1-istio17860-b03
192,A,3,4,istio17860,4,L,bad,3,c1v1-measured-istio17860-b03-L-bad-a3,c1v1-istio17860-b03
193,A,3,5,grpc2391,1,L,ok,1,c1v1-measured-grpc2391-b03-L-ok-a1,c1v1-grpc2391-b03
194,A,3,5,grpc2391,1,L,ok,2,c1v1-measured-grpc2391-b03-L-ok-a2,c1v1-grpc2391-b03
195,A,3,5,grpc2391,1,L,ok,3,c1v1-measured-grpc2391-b03-L-ok-a3,c1v1-grpc2391-b03
196,A,3,5,grpc2391,2,R,bad,1,c1v1-measured-grpc2391-b03-R-bad-a1,c1v1-grpc2391-b03
197,A,3,5,grpc2391,2,R,bad,2,c1v1-measured-grpc2391-b03-R-bad-a2,c1v1-grpc2391-b03
198,A,3,5,grpc2391,2,R,bad,3,c1v1-measured-grpc2391-b03-R-bad-a3,c1v1-grpc2391-b03
199,A,3,5,grpc2391,3,L,bad,1,c1v1-measured-grpc2391-b03-L-bad-a1,c1v1-grpc2391-b03
200,A,3,5,grpc2391,3,L,bad,2,c1v1-measured-grpc2391-b03-L-bad-a2,c1v1-grpc2391-b03
201,A,3,5,grpc2391,3,L,bad,3,c1v1-measured-grpc2391-b03-L-bad-a3,c1v1-grpc2391-b03
202,A,3,5,grpc2391,4,R,ok,1,c1v1-measured-grpc2391-b03-R-ok-a1,c1v1-grpc2391-b03
203,A,3,5,grpc2391,4,R,ok,2,c1v1-measured-grpc2391-b03-R-ok-a2,c1v1-grpc2391-b03
204,A,3,5,grpc2391,4,R,ok,3,c1v1-measured-grpc2391-b03-R-ok-a3,c1v1-grpc2391-b03
205,A,3,6,k8s26980,1,R,ok,1,c1v1-measured-k8s26980-b03-R-ok-a1,c1v1-k8s26980-b03
206,A,3,6,k8s26980,1,R,ok,2,c1v1-measured-k8s26980-b03-R-ok-a2,c1v1-k8s26980-b03
207,A,3,6,k8s26980,1,R,ok,3,c1v1-measured-k8s26980-b03-R-ok-a3,c1v1-k8s26980-b03
208,A,3,6,k8s26980,2,R,bad,1,c1v1-measured-k8s26980-b03-R-bad-a1,c1v1-k8s26980-b03
209,A,3,6,k8s26980,2,R,bad,2,c1v1-measured-k8s26980-b03-R-bad-a2,c1v1-k8s26980-b03
210,A,3,6,k8s26980,2,R,bad,3,c1v1-measured-k8s26980-b03-R-bad-a3,c1v1-k8s26980-b03
211,A,3,6,k8s26980,3,L,ok,1,c1v1-measured-k8s26980-b03-L-ok-a1,c1v1-k8s26980-b03
212,A,3,6,k8s26980,3,L,ok,2,c1v1-measured-k8s26980-b03-L-ok-a2,c1v1-k8s26980-b03
213,A,3,6,k8s26980,3,L,ok,3,c1v1-measured-k8s26980-b03-L-ok-a3,c1v1-k8s26980-b03
214,A,3,6,k8s26980,4,L,bad,1,c1v1-measured-k8s26980-b03-L-bad-a1,c1v1-k8s26980-b03
215,A,3,6,k8s26980,4,L,bad,2,c1v1-measured-k8s26980-b03-L-bad-a2,c1v1-k8s26980-b03
216,A,3,6,k8s26980,4,L,bad,3,c1v1-measured-k8s26980-b03-L-bad-a3,c1v1-k8s26980-b03
217,A,4,1,grpc2391,1,L,bad,1,c1v1-measured-grpc2391-b04-L-bad-a1,c1v1-grpc2391-b04
218,A,4,1,grpc2391,1,L,bad,2,c1v1-measured-grpc2391-b04-L-bad-a2,c1v1-grpc2391-b04
219,A,4,1,grpc2391,1,L,bad,3,c1v1-measured-grpc2391-b04-L-bad-a3,c1v1-grpc2391-b04
220,A,4,1,grpc2391,2,R,bad,1,c1v1-measured-grpc2391-b04-R-bad-a1,c1v1-grpc2391-b04
221,A,4,1,grpc2391,2,R,bad,2,c1v1-measured-grpc2391-b04-R-bad-a2,c1v1-grpc2391-b04
222,A,4,1,grpc2391,2,R,bad,3,c1v1-measured-grpc2391-b04-R-bad-a3,c1v1-grpc2391-b04
223,A,4,1,grpc2391,3,R,ok,1,c1v1-measured-grpc2391-b04-R-ok-a1,c1v1-grpc2391-b04
224,A,4,1,grpc2391,3,R,ok,2,c1v1-measured-grpc2391-b04-R-ok-a2,c1v1-grpc2391-b04
225,A,4,1,grpc2391,3,R,ok,3,c1v1-measured-grpc2391-b04-R-ok-a3,c1v1-grpc2391-b04
226,A,4,1,grpc2391,4,L,ok,1,c1v1-measured-grpc2391-b04-L-ok-a1,c1v1-grpc2391-b04
